Team,Result
Albania,Group stage
Austria,Round of 16
Belgium,Round of 16
Croatia,Group stage
Czech Republic,Group stage
Denmark,Round of 16
England,Runner up
France,Semi-finals
Georgia,Round of 16
Germany,Quarter-finals
Hungary,Group stage
Italy,Round of 16
Netherlands,Semi-finals
Poland,Group stage
Portugal,Quarter-finals
Romania,Round of 16
Scotland,Group stage
Serbia,Group stage
Slovakia,Round of 16
Slovenia,Round of 16
Spain,Winner
Switzerland,Quarter-finals
Turkey,Quarter-finals
Ukraine,Group stage
